,MeanDecreaseGini,SD
tavg0,3.947900356,2.891362236
tavg1,2.54629713,1.291471373
tavg2,2.520110485,1.359580337
tavg3,1.885087656,0.33621451
tavg4,2.936658135,1.674915728
tavg5,3.667927337,2.50532991
tavg6,2.026916544,0.815636429
tavg7,2.310612173,0.770011586
tavg8,1.971059161,0.399316157
tavg9,1.702275211,0.329542022
tavg10,2.088117114,0.418069493
tavg11,1.81531103,0.443104301
tavg12,1.529142748,0.318820384
tavg13,1.856438078,0.415577906
tavg14,1.808129262,0.371779926
tavg15,1.9077482,0.408154702
tavg16,2.356384184,0.873818681
tavg17,3.980165582,1.964190847
tavg18,3.283917483,1.396477419
tavg19,3.934669123,1.749601915
tavg20,2.356699808,1.200995103
tmin0,5.961999919,3.822292176
tmin1,3.19481665,1.632869599
tmin2,2.725954058,1.75977662
tmin3,2.394421973,1.143392131
tmin4,3.070573488,1.430022614
tmin5,3.271283674,1.846000986
tmin6,3.507522733,2.046217747
tmin7,3.172230407,0.898720881
tmin8,2.514754787,0.650763881
tmin9,2.249304121,0.424253458
tmin10,2.019632068,0.395447166
tmin11,2.141836502,0.574077376
tmin12,1.84802515,0.387436898
tmin13,2.169419192,0.541784351
tmin14,2.04969481,0.442771701
tmin15,2.156802626,0.464247361
tmin16,2.406617094,0.601397269
tmin17,3.942609521,1.603015811
tmin18,3.67538981,1.685951785
tmin19,3.471831288,1.242373542
tmin20,2.418550119,0.62756401
tmax0,4.037586246,1.785566454
tmax1,2.441913447,0.585430245
tmax2,2.520880862,1.642816077
tmax3,2.918720473,1.646806285
tmax4,2.947992642,1.886639142
tmax5,2.978661105,1.875028366
tmax6,2.414058803,1.383883778
tmax7,2.279117598,0.885998373
tmax8,1.884571631,0.348898355
tmax9,1.845560296,0.376248735
tmax10,2.137371501,0.412230787
tmax11,1.823824563,0.385787306
tmax12,1.729834195,0.336783098
tmax13,1.65974585,0.365643203
tmax14,1.80304214,0.348423806
tmax15,1.740629293,0.329054635
tmax16,1.90906032,0.497404892
tmax17,2.679160291,1.394675279
tmax18,3.696719247,1.915543774
tmax19,3.460587159,1.378774089
tmax20,4.523617949,2.227001527
prec0,3.798930384,0.66337799
prec1,2.875746291,0.381300508
prec2,2.841000404,0.389747584
prec3,2.625929587,0.396647003
prec4,2.67701049,0.410181638
prec5,2.765264465,0.461503768
prec6,2.400979599,0.383139742
prec7,2.648930532,0.483849916
prec8,2.295038883,0.464980988
prec9,2.20539813,0.375473292
prec10,2.697060685,0.556543866
prec11,2.622658631,0.433726828
prec12,2.259784618,0.395058423
prec13,2.238671543,0.39637532
prec14,2.40285272,0.413261577
prec15,2.708011163,0.498081122
prec16,2.565587154,0.404476649
prec17,2.793522971,0.429229273
prec18,2.57065448,0.517544769
prec19,2.643849767,0.495813726
prec20,2.915254916,0.504977903
humd0,2.829878324,0.524225386
humd1,2.43613896,0.513090112
humd2,2.43455542,0.385717842
humd3,2.344321921,0.493506789
humd4,2.6036024,0.615247759
humd5,2.42011031,0.497191475
humd6,2.393722638,0.482307152
humd7,2.595092768,0.542029739
humd8,2.088088438,0.32943573
humd9,2.122626919,0.316963494
humd10,2.251646548,0.377207408
humd11,2.305628945,0.465182314
humd12,2.18106307,0.383015783
humd13,2.416784975,0.454913102
humd14,2.169296772,0.391920739
humd15,2.095380462,0.369768653
humd16,2.429740033,0.5323871
humd17,2.661840447,0.457254398
humd18,2.280321831,0.391104768
humd19,2.554416102,0.552553108
humd20,2.570173957,0.401328702
tavg0_1,3.898127825,2.247427652
tavg0_2,4.4720211,3.621969908
tavg0_3,7.668210788,5.363813372
tavg0_4,10.16153963,6.127482903
tavg0_5,12.99620331,7.932619933
tavg0_6,14.6004553,7.702107649
tavg0_7,7.237673004,5.973939035
tavg0_8,4.384746284,4.011236919
tavg0_9,2.513743239,1.69442859
tavg0_10,1.950561994,0.992744643
tavg0_11,1.733521301,0.97017192
tavg0_12,1.137108526,0.426762402
tavg0_13,1.155571121,0.610305655
tavg0_14,0.875261483,0.28714998
tavg0_15,0.89765539,0.325340745
tavg0_16,1.019083823,0.509573528
tavg0_17,0.888649049,0.325557062
tavg0_18,0.946377504,0.352834265
tavg0_19,0.838680847,0.331013318
tavg0_20,0.830691803,0.250508366
tavg1_20,0.958700176,0.36657243
tavg2_20,0.918801005,0.430354713
tavg3_20,1.396669189,0.657074936
tavg4_20,1.394272364,0.941964495
tavg5_20,1.725368292,1.005685075
tavg6_20,2.24394234,1.278857494
tavg7_20,1.561491762,0.992953442
tavg8_20,1.791221149,1.316386917
tavg9_20,1.41599077,0.856612991
tavg10_20,1.597815966,0.903761908
tavg11_20,1.23599078,0.587628098
tavg12_20,1.227769864,0.541523292
tavg13_20,1.412967491,0.634034287
tavg14_20,1.631073956,0.587089202
tavg15_20,1.680893687,0.57971543
tavg16_20,2.430606742,1.465933206
tavg17_20,2.912535204,1.609385122
tavg18_20,3.299973799,1.590563645
tavg19_20,2.308256703,0.898456116
tavg1_2,3.874734487,3.525289758
tavg1_3,6.092716593,4.084197853
tavg1_4,9.427289927,6.143367134
tavg1_5,14.0501297,7.286841178
tavg1_6,10.52806489,6.697112269
tavg1_7,6.568512094,4.807060995
tavg1_8,3.228402226,2.769330861
tavg1_9,2.774339936,1.643557759
tavg1_10,2.761109231,1.671870456
tavg1_11,2.273702119,1.13878038
tavg1_12,1.253267109,0.585498332
tavg1_13,1.128339092,0.45869379
tavg1_14,0.94760798,0.303412878
tavg1_15,1.033858255,0.398435996
tavg1_16,1.045417954,0.342544123
tavg1_17,0.944300396,0.38614558
tavg1_18,0.959110738,0.358120183
tavg1_19,0.792219278,0.224719521
tavg2_19,0.925494889,0.405671286
tavg3_19,1.194346024,0.59011027
tavg4_19,1.24845467,0.688194919
tavg5_19,1.426591826,0.864914916
tavg6_19,1.873675419,1.230075457
tavg7_19,1.918503636,1.274181001
tavg8_19,2.053335292,1.106054173
tavg9_19,1.524449725,0.987684181
tavg10_19,1.590025273,0.934857884
tavg11_19,1.134078425,0.436526129
tavg12_19,1.404574419,0.811521768
tavg13_19,1.565424235,0.778912952
tavg14_19,1.520567366,0.585690392
tavg15_19,1.939433012,0.921582603
tavg16_19,2.742848966,1.307771451
tavg17_19,3.363886916,1.639740619
tavg18_19,3.362878517,1.515753257
tavg2_3,6.014046487,3.849727494
tavg2_4,6.389821531,4.122036179
tavg2_5,11.77796624,6.267610894
tavg2_6,9.418842395,6.524128568
tavg2_7,6.066972876,5.02532357
tavg2_8,3.16303646,2.799610227
tavg2_9,2.691297098,1.520734583
tavg2_10,2.404994825,1.470501908
tavg2_11,1.844902583,1.005958033
tavg2_12,1.297980499,0.529256729
tavg2_13,1.323508723,0.567713756
tavg2_14,1.176497888,0.495309136
tavg2_15,1.084561071,0.559811134
tavg2_16,0.910001721,0.44677727
tavg2_17,0.915394835,0.430734098
tavg2_18,1.063499261,0.523405891
tavg3_18,1.497808831,0.845578793
tavg4_18,1.282769036,0.779979589
tavg5_18,1.57904855,0.979755249
